ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
"11508648,JB516393,11/15/2018 01:51:00 AM,020XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1225,012,27,28,08B,1162659,1898621,2018,11/22/2018 04:08:52 PM,41.877470199,-87.678222877,""(41.877470199, -87.678222877)"""
"11508642,JB517697,11/15/2018 08:00:00 PM,061XX N DAMEN AVE,0810,THEFT,OVER $500,STREET,false,false,2413,024,40,2,06,1161891,1940432,2018,11/22/2018 04:08:52 PM,41.992218187,-87.679872622,""(41.992218187, -87.679872622)"""
"11508638,JB517634,11/15/2018 11:30:00 PM,034XX W ROOSEVELT RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1133,011,24,29,07,1153720,1894499,2018,11/22/2018 04:08:52 PM,41.866341527,-87.711154301,""(41.866341527, -87.711154301)"""
"11508624,JB517563,11/15/2018 05:38:00 PM,061XX S MAY ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,true,false,0712,007,16,68,26,1169703,1864078,2018,11/22/2018 04:08:52 PM,41.782530442,-87.653363229,""(41.782530442, -87.653363229)"""
"11508619,JB517648,11/15/2018 11:00:00 PM,014XX W SHAKESPEARE AVE,0810,THEFT,OVER $500,STREET,false,false,1811,018,2,7,06,1166335,1914415,2018,11/22/2018 04:08:52 PM,41.920732243,-87.664273381,""(41.920732243, -87.664273381)"""
"11508618,JB516924,11/15/2018 01:21:00 PM,006XX W DIVERSEY PKWY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1935,019,43,7,06,1171362,1918847,2018,11/22/2018 04:08:52 PM,41.932784743,-87.645672656,""(41.932784743, -87.645672656)"""
"11508616,JB517608,11/15/2018 11:15:00 PM,072XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0334,003,7,43,08B,1194453,1857655,2018,11/22/2018 04:08:52 PM,41.76433238,-87.562834881,""(41.76433238, -87.562834881)"""
"11508615,JB517633,11/15/2018 11:49:00 PM,015XX W 17TH ST,2021,NARCOTICS,POSS: BARBITUATES,STREET,true,false,1233,012,25,31,18,1166328,1891817,2018,11/22/2018 04:08:52 PM,41.85872181,-87.664945854,""(41.85872181, -87.664945854)"""
"11508610,JB517597,11/15/2018 10:46:00 PM,015XX N LAWNDALE AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2535,025,26,23,18,1151412,1910209,2018,11/22/2018 04:08:52 PM,41.909496994,-87.719214491,""(41.909496994, -87.719214491)"""
"11508601,JB517604,11/15/2018 11:21:00 PM,069XX S ELIZABETH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,true,0734,007,6,67,04B,1169187,1858771,2018,11/22/2018 04:08:52 PM,41.76797856,-87.655408413,""(41.76797856, -87.655408413)"""
"11508600,JB517580,11/15/2018 10:00:00 PM,016XX S PULASKI RD,0850,THEFT,ATTEMPT THEFT,COMMERCIAL / BUSINESS OFFICE,true,false,1014,010,24,29,06,1149986,1891521,2018,11/22/2018 04:08:52 PM,41.858242985,-87.724939739,""(41.858242985, -87.724939739)"""
"11508599,JB517662,11/15/2018 01:00:00 PM,0000X E ADAMS ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0113,001,42,32,06,1177056,1899489,2018,11/22/2018 04:08:52 PM,41.879538326,-87.625335149,""(41.879538326, -87.625335149)"""
"11508596,JB517647,11/15/2018 11:55:00 PM,021XX W AINSLIE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,2032,020,40,4,18,1160990,1932515,2018,11/22/2018 04:08:52 PM,41.970512438,-87.683407751,""(41.970512438, -87.683407751)"""
"11508595,JB517601,11/15/2018 10:43:00 PM,002XX W 43RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0925,009,3,37,15,1175569,1876473,2018,11/22/2018 04:08:52 PM,41.816414234,-87.631485812,""(41.816414234, -87.631485812)"""
"11508594,JB517632,11/15/2018 10:30:00 PM,013XX N LOCKWOOD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2532,025,37,25,06,1140784,1908316,2018,11/22/2018 04:08:52 PM,41.904504556,-87.758304235,""(41.904504556, -87.758304235)"""
"11508591,JB517644,11/15/2018 11:00:00 PM,036XX W OGDEN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1014,010,24,29,03,1152598,1890161,2018,11/22/2018 04:08:52 PM,41.854459796,-87.715387915,""(41.854459796, -87.715387915)"""
"11508589,JB517575,11/15/2018 09:03:00 PM,007XX N KILBOURN AVE,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,""VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"",true,false,1111,011,37,23,15,1145821,1904627,2018,11/22/2018 04:08:52 PM,41.894287393,-87.739895446,""(41.894287393, -87.739895446)"""
"11508587,JB517142,11/15/2018 03:52:00 PM,016XX E 74TH PL,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0324,003,8,43,03,1188499,1855911,2018,11/22/2018 04:08:52 PM,41.759690971,-87.584713058,""(41.759690971, -87.584713058)"""
"11508586,JB517605,11/15/2018 11:16:00 PM,010XX W 80TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,APARTMENT,true,false,0612,006,21,71,26,1170563,1851764,2018,11/22/2018 04:08:52 PM,41.748720576,-87.650568587,""(41.748720576, -87.650568587)"""
"11508585,JB517593,11/15/2018 10:40:00 PM,089XX S HOUSTON AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0424,004,10,46,06,1198074,1846286,2018,11/22/2018 04:08:52 PM,41.733045256,-87.549942692,""(41.733045256, -87.549942692)"""
"11508584,JB517627,11/15/2018 11:25:00 PM,070XX S INDIANA AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,0322,003,6,69,18,1178811,1858383,2018,11/22/2018 04:08:52 PM,41.766700275,-87.620144007,""(41.766700275, -87.620144007)"""
"11508582,JB516392,11/15/2018 02:42:00 AM,028XX W 35TH ST,0865,THEFT,DELIVERY CONTAINER THEFT,VEHICLE-COMMERCIAL,false,false,0911,009,12,58,06,1158190,1881310,2018,11/22/2018 04:08:52 PM,41.830059382,-87.6951043,""(41.830059382, -87.6951043)"""
"11511574,JB521711,11/14/2018 01:00:00 PM,016XX S PRAIRIE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0132,001,3,33,06,1178347,1892319,2018,11/22/2018 04:00:54 PM,41.859834107,-87.62081338,""(41.859834107, -87.62081338)"""
"11511566,JB521722,11/03/2018 12:00:00 PM,005XX E 86TH PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0632,006,6,44,06,1181430,1847754,2018,11/22/2018 04:00:54 PM,41.737473154,-87.610871587,""(41.737473154, -87.610871587)"""
"11511556,JB521693,11/14/2018 04:00:00 PM,0000X W 71ST ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0731,007,6,69,06,1176970,1857910,2018,11/22/2018 04:00:54 PM,41.765444001,-87.626906181,""(41.765444001, -87.626906181)"""
"11511544,JB521707,11/01/2018 02:00:00 PM,044XX N MAGNOLIA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,1913,019,46,3,26,1167113,1929584,2018,11/22/2018 04:00:54 PM,41.962340002,-87.660977705,""(41.962340002, -87.660977705)"""
"11511525,JB521520,10/29/2018 10:00:00 AM,066XX S GREEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0723,007,6,68,11,1171779,1860886,2018,11/22/2018 04:00:54 PM,41.773725919,-87.645845585,""(41.773725919, -87.645845585)"""
"11511507,JB521592,07/31/2018 10:00:00 AM,053XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,NURSING HOME/RETIREMENT HOME,false,false,2023,020,48,77,11,1168675,1935712,2018,11/22/2018 04:00:54 PM,41.97912164,-87.655056515,""(41.97912164, -87.655056515)"""
"11511497,JB521540,11/10/2018 02:00:00 PM,064XX S COTTAGE GROVE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0312,003,20,42,26,1182673,1862355,2018,11/22/2018 04:00:54 PM,41.777511079,-87.605865272,""(41.777511079, -87.605865272)"""
"11511486,JB521551,10/19/2018 08:46:00 AM,008XX N PULASKI RD,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,false,false,1112,011,37,23,10,1149574,1905214,2018,11/22/2018 04:00:54 PM,41.895826124,-87.726096446,""(41.895826124, -87.726096446)"""
"11511479,JB521573,11/06/2018 10:52:00 AM,010XX W LAWRENCE AVE,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,OTHER,true,false,1914,019,46,3,18,1168589,1932052,2018,11/22/2018 04:00:54 PM,41.969080365,-87.655479287,""(41.969080365, -87.655479287)"""
"11511470,JB521525,11/06/2018 12:00:00 PM,045XX N DOVER ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1913,019,46,3,11,1165951,1930308,2018,11/22/2018 04:00:54 PM,41.964351627,-87.665229142,""(41.964351627, -87.665229142)"""
"11511459,JB521462,10/14/2018 12:01:00 AM,058XX W 54TH PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0811,008,23,56,06,1138457,1867878,2018,11/22/2018 04:00:54 PM,41.793579244,-87.767830254,""(41.793579244, -87.767830254)"""
"11511453,JB521499,11/01/2018 12:00:00 PM,076XX N PAULINA ST,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,RESIDENCE,false,true,2422,024,49,1,11,1163657,1950529,2018,11/22/2018 04:00:54 PM,42.019887425,-87.673090304,""(42.019887425, -87.673090304)"""
"11511447,JB521463,11/14/2018 09:00:00 AM,053XX W DIVERSEY AVE,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,COMMERCIAL / BUSINESS OFFICE,false,false,2514,025,31,19,11,1140396,1918100,2018,11/22/2018 04:00:54 PM,41.931360054,-87.759489006,""(41.931360054, -87.759489006)"""
"11511428,JB521511,11/08/2018 01:30:00 PM,053XX N MILWAUKEE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,false,false,1622,016,45,11,11,1137735,1934679,2018,11/22/2018 04:00:54 PM,41.976902894,-87.768866564,""(41.976902894, -87.768866564)"""
"11511401,JB521434,11/10/2018 10:00:00 AM,107XX S YATES AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0434,004,7,51,11,1194345,1834408,2018,11/22/2018 04:00:54 PM,41.700543209,-87.56399233,""(41.700543209, -87.56399233)"""
"11511384,JB508388,11/08/2018 01:05:00 PM,008XX W LAWRENCE AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,1914,019,46,3,26,1169822,1932084,2018,11/22/2018 04:00:54 PM,41.969141315,-87.650944654,""(41.969141315, -87.650944654)"""
"11511358,JB521375,11/05/2018 09:00:00 AM,078XX S EUCLID AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0414,004,8,43,11,1190562,1853400,2018,11/22/2018 04:00:54 PM,41.752751057,-87.577233193,""(41.752751057, -87.577233193)"""
"11511357,JB521390,11/09/2018 01:00:00 PM,012XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0131,001,3,33,06,1177419,1894900,2018,11/22/2018 04:00:54 PM,41.866937617,-87.624141504,""(41.866937617, -87.624141504)"""
"11511339,JB521343,11/12/2018 10:00:00 PM,082XX S PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0834,008,18,70,07,1151170,1849424,2018,11/22/2018 04:00:54 PM,41.742699522,-87.721693217,""(41.742699522, -87.721693217)"""
"11511333,JB520689,10/26/2018 10:00:00 AM,115XX S LAFAYETTE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0522,005,34,53,11,1177986,1828169,2018,11/22/2018 04:00:54 PM,41.68380789,-87.624080389,""(41.68380789, -87.624080389)"""
"11511316,JB521334,11/13/2018 03:00:00 PM,027XX N OAK PARK AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,2512,025,36,18,05,1130619,1917453,2018,11/22/2018 04:00:54 PM,41.929758554,-87.795433304,""(41.929758554, -87.795433304)"""
"11511274,JB520606,11/07/2018 07:30:00 PM,021XX W 83RD ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0614,006,18,71,06,1163356,1849583,2018,11/22/2018 04:00:54 PM,41.742889484,-87.677038694,""(41.742889484, -87.677038694)"""
"11511224,JB498465,10/31/2018 06:50:00 PM,008XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1812,018,43,7,06,1170066,1916155,2018,11/22/2018 04:00:54 PM,41.925426194,-87.650514079,""(41.925426194, -87.650514079)"""
"11511210,JB513900,11/13/2018 03:00:00 AM,030XX S HOMAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1032,010,22,30,07,1154183,1884164,2018,11/22/2018 04:00:54 PM,41.837971865,-87.70973011,""(41.837971865, -87.70973011)"""
"11511125,JB521142,09/01/2018 08:00:00 PM,005XX W HARRISON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,0124,001,25,28,26,1172659,1897574,2018,11/22/2018 04:00:54 PM,41.874381838,-87.641536792,""(41.874381838, -87.641536792)"""
"11511072,JB521026,11/10/2018 05:00:00 PM,031XX W 62ND ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,true,0823,008,16,66,11,1156649,1863354,2018,11/22/2018 04:00:54 PM,41.780816987,-87.701242788,""(41.780816987, -87.701242788)"""
"11506749,JB511521,11/11/2018 12:12:00 AM,079XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0624,006,8,44,08B,1184931,1852521,2018,11/22/2018 04:00:54 PM,41.750472935,-87.597895771,""(41.750472935, -87.597895771)"""
"11506729,JB512783,11/11/2018 11:00:00 PM,062XX W 64TH ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0812,008,13,64,06,1135946,1861433,2018,11/22/2018 04:00:54 PM,41.775937948,-87.777190956,""(41.775937948, -87.777190956)"""
"11506705,JB513643,11/12/2018 07:25:00 PM,073XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,0735,007,17,67,03,1166958,1855870,2018,11/22/2018 04:00:54 PM,41.760065748,-87.663661519,""(41.760065748, -87.663661519)"""
"11506697,JB483710,10/20/2018 10:08:00 PM,039XX W 79TH ST,0460,BATTERY,SIMPLE,""SCHOOL, PUBLIC, GROUNDS"",false,false,0834,008,18,70,08B,1151370,1851889,2018,11/22/2018 04:00:54 PM,41.749460005,-87.72089612,""(41.749460005, -87.72089612)"""
"11506688,JB513764,11/12/2018 11:00:00 AM,066XX S MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0312,003,20,42,14,1180717,1861027,2018,11/22/2018 04:00:54 PM,41.773912099,-87.613076681,""(41.773912099, -87.613076681)"""
"11506658,JB513283,11/12/2018 02:00:00 PM,098XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0511,005,8,50,08B,1184622,1839938,2018,11/22/2018 04:00:54 PM,41.715951035,-87.599421254,""(41.715951035, -87.599421254)"""
"11506652,JB509063,11/08/2018 09:45:00 PM,0000X W SCHILLER ST,0810,THEFT,OVER $500,STREET,false,false,1824,018,2,8,06,1175556,1909795,2018,11/22/2018 04:00:54 PM,41.907852355,-87.630532893,""(41.907852355, -87.630532893)"""
"11506619,JB509262,11/09/2018 07:15:00 AM,035XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1123,011,28,27,08B,1152830,1898461,2018,11/22/2018 04:00:54 PM,41.877231343,-87.714316703,""(41.877231343, -87.714316703)"""
"11506564,JB513723,11/11/2018 02:00:00 AM,037XX W CONCORD PL,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,2535,025,26,23,03,1151362,1910719,2018,11/22/2018 04:00:54 PM,41.910897464,-87.719384761,""(41.910897464, -87.719384761)"""
"11506440,JB513317,11/09/2018 10:00:00 AM,005XX W 97TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2223,022,21,73,11,1174241,1840563,2018,11/22/2018 04:00:54 PM,41.71790266,-87.637422961,""(41.71790266, -87.637422961)"""
"11506287,JB510071,11/09/2018 01:30:00 PM,083XX S ASHLAND AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,0614,006,21,71,03,1167122,1849514,2018,11/22/2018 04:00:54 PM,41.742620493,-87.663241882,""(41.742620493, -87.663241882)"""
"11506262,JB511343,11/10/2018 07:00:00 PM,006XX W 63RD ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0711,007,16,68,03,1172953,1863109,2018,11/22/2018 04:00:54 PM,41.779800253,-87.641476402,""(41.779800253, -87.641476402)"""
"11506252,JB508640,11/05/2018 06:00:00 PM,061XX S WOLCOTT AVE,0810,THEFT,OVER $500,""SCHOOL, PUBLIC, BUILDING"",false,false,0714,007,15,67,06,1164741,1863948,2018,11/22/2018 04:00:54 PM,41.782279941,-87.671559063,""(41.782279941, -87.671559063)"""
"11506210,JB500863,11/02/2018 04:40:00 PM,011XX N MASSASOIT AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1511,015,29,25,05,1137812,1906979,2018,11/22/2018 04:00:54 PM,41.900889815,-87.769253682,""(41.900889815, -87.769253682)"""
"11506101,JB512996,11/10/2018 01:00:00 AM,021XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1223,012,27,28,03,1162247,1900003,2018,11/22/2018 04:00:54 PM,41.881271147,-87.679696983,""(41.881271147, -87.679696983)"""
"11506071,JB506716,11/07/2018 06:55:00 AM,051XX W FULTON ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,1532,015,28,25,03,1142177,1901460,2018,11/22/2018 04:00:54 PM,41.885665147,-87.753357527,""(41.885665147, -87.753357527)"""
"11506066,JB511800,11/11/2018 12:01:00 AM,009XX E 103RD ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0511,005,8,50,06,1184261,1836868,2018,11/22/2018 04:00:54 PM,41.707535018,-87.600839053,""(41.707535018, -87.600839053)"""
"11506042,JB508878,11/08/2018 07:06:00 PM,045XX W FIFTH AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1131,011,24,26,16,1146131,1895495,2018,11/22/2018 04:00:54 PM,41.869222227,-87.738989172,""(41.869222227, -87.738989172)"""
"11506039,JB508741,11/08/2018 05:17:00 PM,045XX W FIFTH AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1131,011,24,26,16,1146131,1895495,2018,11/22/2018 04:00:54 PM,41.869222227,-87.738989172,""(41.869222227, -87.738989172)"""
"11505976,JB512794,11/12/2018 08:00:00 AM,087XX S LAFAYETTE AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,0634,006,21,44,06,1177462,1847094,2018,11/22/2018 04:00:54 PM,41.735752519,-87.625429032,""(41.735752519, -87.625429032)"""
"11505975,JB505605,11/04/2018 01:00:00 PM,002XX W LAKE ST,0870,THEFT,POCKET-PICKING,CTA STATION,false,false,0122,001,42,32,06,1174404,1901724,2018,11/22/2018 04:00:54 PM,41.885730922,-87.635006012,""(41.885730922, -87.635006012)"""
"11505963,JB514156,11/13/2018 10:32:00 AM,079XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0611,006,21,71,08B,1167055,1851989,2018,11/22/2018 04:00:54 PM,41.749413676,-87.66341677,""(41.749413676, -87.66341677)"""
"11505919,JB508971,11/08/2018 08:30:00 PM,079XX S WOOD ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,false,false,0611,006,17,71,04B,1165730,1852012,2018,11/22/2018 04:00:54 PM,41.749504998,-87.668271465,""(41.749504998, -87.668271465)"""
"11505812,JB489555,10/25/2018 12:10:00 PM,006XX S KOSTNER AVE,0460,BATTERY,SIMPLE,STREET,true,false,1131,011,24,26,08B,1147152,1896795,2018,11/22/2018 04:00:54 PM,41.872770124,-87.735207523,""(41.872770124, -87.735207523)"""
"11505808,JB512685,11/12/2018 01:30:00 AM,036XX N HALSTED ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,false,false,1925,019,46,6,04B,1170273,1924431,2018,11/22/2018 04:00:54 PM,41.948131367,-87.649510899,""(41.948131367, -87.649510899)"""
"11505796,JB507003,11/06/2018 09:28:00 AM,080XX S MARYLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0631,006,8,44,26,1183297,1851928,2018,11/22/2018 04:00:54 PM,41.748883852,-87.603901859,""(41.748883852, -87.603901859)"""
"11505769,JB511780,11/10/2018 04:45:00 PM,118XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0522,005,34,53,08B,1176738,1826464,2018,11/22/2018 04:00:54 PM,41.679157213,-87.628699935,""(41.679157213, -87.628699935)"""
"11505765,JB510991,11/10/2018 02:15:00 PM,006XX E 77TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0624,006,6,69,08B,1181745,1854091,2018,11/22/2018 04:00:54 PM,41.754855321,-87.60952223,""(41.754855321, -87.60952223)"""
"11505737,JB511448,11/10/2018 12:00:00 PM,0000X N MAYFIELD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1513,015,29,25,05,1137164,1899648,2018,11/22/2018 04:00:54 PM,41.880784275,-87.771810089,""(41.880784275, -87.771810089)"""
"11505634,JB509819,11/09/2018 01:00:00 PM,007XX W 71ST ST,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,APARTMENT,false,false,0732,007,6,68,26,1172792,1857801,2018,11/22/2018 04:00:54 PM,41.765238031,-87.642223024,""(41.765238031, -87.642223024)"""
"11505577,JB513753,11/12/2018 10:00:00 AM,130XX S CHAMPLAIN AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,CHA APARTMENT,false,true,0533,005,9,54,20,1183195,1818690,2018,11/22/2018 04:00:54 PM,41.657676888,-87.605305245,""(41.657676888, -87.605305245)"""
"11505541,JB512084,11/11/2018 02:01:00 PM,070XX S PEORIA ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0733,007,6,68,06,1171520,1858173,2018,11/22/2018 04:00:54 PM,41.766286796,-87.6468744,""(41.766286796, -87.6468744)"""
"11505504,JB512101,11/10/2018 11:00:00 AM,038XX N NARRAGANSETT AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1633,016,38,17,06,1133013,1925062,2018,11/22/2018 04:00:54 PM,41.95059695,-87.786457456,""(41.95059695, -87.786457456)"""
"11505408,JB509828,11/09/2018 07:30:00 AM,013XX W WALTON ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,1213,012,27,24,05,1167188,1906465,2018,11/22/2018 04:00:54 PM,41.898898642,-87.66136813,""(41.898898642, -87.66136813)"""
"11505310,JB512217,11/11/2018 03:30:00 PM,071XX S RIDGELAND AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,true,0324,003,7,43,05,1189100,1858134,2018,11/22/2018 04:00:54 PM,41.7657767,-87.582439315,""(41.7657767, -87.582439315)"""
"11505192,JB510925,11/10/2018 01:00:00 PM,044XX S COTTAGE GROVE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0221,002,4,39,06,1182339,1875765,2018,11/22/2018 04:00:54 PM,41.814317008,-87.606674143,""(41.814317008, -87.606674143)"""
"11505189,JB511862,11/11/2018 10:38:00 AM,046XX S PRAIRIE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,true,0215,002,3,38,04A,1178819,1874383,2018,11/22/2018 04:00:54 PM,41.810605637,-87.619627851,""(41.810605637, -87.619627851)"""
"11505187,JB509644,11/09/2018 07:00:00 AM,007XX E 50TH ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0223,002,4,38,05,1182025,1872022,2018,11/22/2018 04:00:54 PM,41.804053199,-87.6079418,""(41.804053199, -87.6079418)"""
"11505071,JB497245,10/31/2018 12:01:00 AM,018XX N NARRAGANSETT AVE,0917,MOTOR VEHICLE THEFT,""CYCLE, SCOOTER, BIKE W-VIN"",STREET,false,false,2513,025,29,25,07,1133454,1911644,2018,11/22/2018 04:00:54 PM,41.913768683,-87.785151711,""(41.913768683, -87.785151711)"""
"11505053,JB510775,11/10/2018 11:00:00 AM,067XX S JEFFERY BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0331,003,5,43,03,1190705,1860678,2018,11/22/2018 04:00:54 PM,41.772719038,-87.576474498,""(41.772719038, -87.576474498)"""
"11505015,JB509382,11/08/2018 03:45:00 PM,052XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0935,009,20,61,06,1172190,1870165,2018,11/22/2018 04:00:54 PM,41.799179507,-87.644066266,""(41.799179507, -87.644066266)"""
"11504976,JB505681,11/06/2018 11:06:00 AM,012XX W 74TH ST,031A,ROBBERY,ARMED: HANDGUN,OTHER,false,false,0734,007,17,67,03,1169274,1855709,2018,11/22/2018 04:00:54 PM,41.759574155,-87.655178004,""(41.759574155, -87.655178004)"""
"11504937,JB507965,11/08/2018 06:09:00 AM,059XX S WASHTENAW AVE,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,RESIDENCE,false,false,0824,008,16,66,24,1159392,1865172,2018,11/22/2018 04:00:54 PM,41.785750062,-87.691136568,""(41.785750062, -87.691136568)"""
"11504890,JB510741,11/10/2018 09:45:00 AM,092XX S LOOMIS ST,0325,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,false,false,2222,022,21,73,03,1168618,1843506,2018,11/22/2018 04:00:54 PM,41.726101574,-87.657933254,""(41.726101574, -87.657933254)"""
"11504878,JB509666,11/09/2018 09:50:00 AM,065XX S KEELER AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0833,008,13,65,03,1149494,1861002,2018,11/22/2018 04:00:54 PM,41.774504053,-87.727535466,""(41.774504053, -87.727535466)"""
