ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
"11512938,JB523511,11/18/2018 12:01:00 AM,022XX N LINCOLN AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1812,018,43,7,08B,1171562,1915205,2018,11/25/2018 04:09:36 PM,41.922786529,-87.645045119,""(41.922786529, -87.645045119)"""
"11512912,JB523086,11/18/2018 02:00:00 AM,046XX S MARSHFIELD AVE,0915,MOTOR VEHICLE THEFT,""TRUCK, BUS, MOTOR HOME"",STREET,false,false,0924,009,15,61,07,1166119,1874043,2018,11/25/2018 04:09:36 PM,41.809952617,-87.666219702,""(41.809952617, -87.666219702)"""
11512897,JB521893,11/18/2018 01:00:00 PM,003XX E 58TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0232,002,20,40,06,,,2018,11/25/2018 04:09:36 PM,,,
11512854,JB523182,11/18/2018 06:00:00 PM,021XX W CORTEZ ST,0810,THEFT,OVER $500,APARTMENT,false,false,1212,012,2,24,06,,,2018,11/25/2018 04:09:36 PM,,,
"11512851,JB522703,11/18/2018 06:55:00 PM,0000X E CHICAGO AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1833,018,42,8,06,1176708,1905741,2018,11/25/2018 04:09:36 PM,41.896702014,-87.626423821,""(41.896702014, -87.626423821)"""
11512842,JB522722,11/18/2018 04:55:00 PM,0000X W JACKSON BLVD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,0113,001,4,32,11,,,2018,11/25/2018 04:09:36 PM,,,
"11512816,JB523323,11/18/2018 07:00:00 AM,055XX S HYDE PARK BLVD,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,APARTMENT,false,false,0235,002,5,41,11,1188601,1868603,2018,11/25/2018 04:09:36 PM,41.794516399,-87.583933877,""(41.794516399, -87.583933877)"""
"11512777,JB523209,11/18/2018 01:57:00 PM,026XX W CARMEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2031,020,40,4,14,1157824,1933766,2018,11/25/2018 04:09:36 PM,41.974010561,-87.695015097,""(41.974010561, -87.695015097)"""
"11512640,JB523099,11/18/2018 06:30:00 PM,039XX W HARRISON ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1132,011,24,26,08B,1150057,1897065,2018,11/25/2018 04:09:36 PM,41.873454991,-87.724534806,""(41.873454991, -87.724534806)"""
"11512619,JB523049,11/18/2018 02:15:00 PM,012XX S MICHIGAN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,false,false,0131,001,3,33,10,1177419,1894900,2018,11/25/2018 04:09:36 PM,41.866937617,-87.624141504,""(41.866937617, -87.624141504)"""
"11512587,JB522993,11/18/2018 12:00:00 PM,057XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0233,002,20,40,06,1182556,1867223,2018,11/25/2018 04:09:36 PM,41.790872026,-87.606143261,""(41.790872026, -87.606143261)"""
"11512520,JB522851,11/18/2018 02:30:00 PM,077XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0621,006,6,71,08B,1172973,1853652,2018,11/25/2018 04:09:36 PM,41.753848671,-87.641681875,""(41.753848671, -87.641681875)"""
"11512382,JB522723,11/18/2018 07:00:00 PM,025XX W LAWRENCE AVE,0810,THEFT,OVER $500,OTHER,false,false,1911,019,40,4,06,1158381,1931790,2018,11/25/2018 04:09:36 PM,41.968576911,-87.693021162,""(41.968576911, -87.693021162)"""
"11512367,JB522677,11/18/2018 08:30:00 PM,040XX N PULASKI RD,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1723,017,45,16,08A,1149005,1926516,2018,11/25/2018 04:09:36 PM,41.954291778,-87.727633627,""(41.954291778, -87.727633627)"""
"11512340,JB522603,11/18/2018 12:00:00 AM,062XX S WENTWORTH AVE,0810,THEFT,OVER $500,PARK PROPERTY,false,false,0311,003,20,68,06,1176033,1863738,2018,11/25/2018 04:09:36 PM,41.78145774,-87.630165907,""(41.78145774, -87.630165907)"""
"11512318,JB522613,11/18/2018 09:00:00 AM,060XX S TROY ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0823,008,16,66,26,1156423,1864313,2018,11/25/2018 04:09:36 PM,41.783453178,-87.702045543,""(41.783453178, -87.702045543)"""
"11512288,JB522598,11/18/2018 05:00:00 PM,016XX W 51ST ST,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,0931,009,20,61,06,1166453,1870897,2018,11/25/2018 04:09:36 PM,41.801312511,-87.665084355,""(41.801312511, -87.665084355)"""
"11512282,JB521465,11/18/2018 05:00:00 PM,061XX S NORMANDY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0812,008,13,64,14,1132799,1863005,2018,11/25/2018 04:09:36 PM,41.780307084,-87.788691366,""(41.780307084, -87.788691366)"""
"11512248,JB521575,11/18/2018 06:00:00 PM,001XX W DIVISION ST,4230,KIDNAPPING,UNLAWFUL RESTRAINT,RESIDENCE,false,false,1824,018,27,8,26,1175156,1908348,2018,11/25/2018 04:09:36 PM,41.903890702,-87.632045722,""(41.903890702, -87.632045722)"""
"11512230,JB521355,11/18/2018 06:00:00 PM,072XX S COLES AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0334,003,7,43,06,1194457,1857648,2018,11/25/2018 04:09:36 PM,41.764313073,-87.562820451,""(41.764313073, -87.562820451)"""
11512216,JB521164,11/18/2018 10:00:00 PM,018XX S PULASKI RD,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,true,1012,010,24,29,04A,,,2018,11/25/2018 04:09:36 PM,,,
"11512189,JB522326,11/18/2018 10:54:00 PM,078XX S CHRISTIANA AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,0835,008,18,70,26,1155408,1852475,2018,11/25/2018 04:09:36 PM,41.75098826,-87.706083431,""(41.75098826, -87.706083431)"""
"11512115,JB522342,11/18/2018 06:40:00 PM,013XX S KEDVALE AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,1011,010,24,29,03,1148929,1893484,2018,11/25/2018 04:09:36 PM,41.863650183,-87.72876889,""(41.863650183, -87.72876889)"""
"11512073,JB521105,11/18/2018 08:27:00 PM,016XX W 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0611,006,21,71,08B,1166988,1851003,2018,11/25/2018 04:09:36 PM,41.746709384,-87.663690405,""(41.746709384, -87.663690405)"""
"11512021,JB521064,11/18/2018 08:18:00 PM,032XX N CICERO AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1634,016,31,15,08B,1143808,1920986,2018,11/25/2018 04:09:36 PM,41.939216164,-87.746877814,""(41.939216164, -87.746877814)"""
"11512006,JB521903,11/18/2018 09:00:00 AM,051XX W NEWPORT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1634,016,31,15,11,1141374,1922449,2018,11/25/2018 04:09:36 PM,41.943276121,-87.755787313,""(41.943276121, -87.755787313)"""
"11511987,JB522305,11/18/2018 04:00:00 PM,029XX N NASHVILLE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2511,025,36,18,26,1131925,1918772,2018,11/25/2018 04:09:36 PM,41.933355462,-87.790603333,""(41.933355462, -87.790603333)"""
"11511978,JB522308,11/18/2018 05:00:00 PM,026XX S SPAULDING AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,1032,010,12,30,26,1154789,1886205,2018,11/25/2018 04:09:36 PM,41.84356052,-87.707451823,""(41.84356052, -87.707451823)"""
11511959,JB521966,11/18/2018 01:02:00 AM,015XX E 53RD ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0234,002,5,41,06,,,2018,11/25/2018 04:09:36 PM,,,
"11511954,JB521605,11/18/2018 01:00:00 AM,001XX W KINZIE ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1831,018,42,8,06,1175310,1902997,2018,11/25/2018 04:09:36 PM,41.889203826,-87.631640804,""(41.889203826, -87.631640804)"""
"11511948,JB521546,11/18/2018 02:00:00 PM,047XX S COTTAGE GROVE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,DEPARTMENT STORE,false,false,0223,002,4,38,11,1182389,1873821,2018,11/25/2018 04:09:36 PM,41.808981361,-87.606551046,""(41.808981361, -87.606551046)"""
"11511942,JB522042,11/18/2018 10:05:00 AM,011XX E 90TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0413,004,8,47,11,1185203,1845531,2018,11/25/2018 04:09:36 PM,41.731285254,-87.597118182,""(41.731285254, -87.597118182)"""
"11511929,JB521776,11/18/2018 06:30:00 PM,005XX N WELLS ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1831,018,42,8,06,1174647,1903665,2018,11/25/2018 04:09:36 PM,41.891051707,-87.63405559,""(41.891051707, -87.63405559)"""
"11511925,JB522249,11/18/2018 06:00:00 PM,038XX W 82ND PL,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,false,false,0834,008,18,70,26,1152239,1849599,2018,11/25/2018 04:09:36 PM,41.743158835,-87.717771742,""(41.743158835, -87.717771742)"""
"11511906,JB521991,11/18/2018 04:00:00 PM,009XX N CROSBY ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,1822,018,27,8,06,1172084,1906812,2018,11/25/2018 04:09:36 PM,41.899744192,-87.643375206,""(41.899744192, -87.643375206)"""
